FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_HOUSING_TYPE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,sensitive_sexo,children_cat,ordinal_EDUCATION,IS_MARRIAGE,sensitive_age,IS_UNEMPLOYED,fam_size_cat,target
1,1,427500.0,Working,Rented apartment,1,0,0,1,no_children,3,1,1,0,two_members,0
1,1,427500.0,Working,Rented apartment,1,0,0,1,no_children,3,1,1,0,two_members,0
1,1,112500.0,Working,House / apartment,0,0,0,1,no_children,1,1,1,0,two_members,0
0,1,270000.0,Commercial associate,House / apartment,0,1,1,0,no_children,1,0,1,0,single,0
0,1,270000.0,Commercial associate,House / apartment,0,1,1,0,no_children,1,0,1,0,single,0
0,1,270000.0,Commercial associate,House / apartment,0,1,1,0,no_children,1,0,1,0,single,0
0,1,270000.0,Commercial associate,House / apartment,0,1,1,0,no_children,1,0,1,0,single,0
1,1,270000.0,Working,House / apartment,1,1,1,1,no_children,3,1,1,0,two_members,0
1,1,270000.0,Working,House / apartment,1,1,1,1,no_children,3,1,1,0,two_members,0
1,1,135000.0,Commercial associate,House / apartment,0,0,0,1,no_children,1,1,1,0,two_members,0
1,1,135000.0,Commercial associate,House / apartment,0,0,0,1,no_children,1,1,1,0,two_members,0
1,1,135000.0,Commercial associate,House / apartment,0,0,0,1,no_children,1,1,1,0,two_members,0
1,1,135000.0,Commercial associate,House / apartment,0,0,0,1,no_children,1,1,1,0,two_members,0
1,1,135000.0,Commercial associate,House / apartment,0,0,0,1,no_children,1,1,1,0,two_members,0
1,1,135000.0,Commercial associate,House / apartment,0,0,0,1,no_children,1,1,1,0,two_members,0
1,0,130500.0,Working,House / apartment,0,0,0,0,no_children,2,1,0,0,two_members,0
1,0,130500.0,Working,House / apartment,0,0,0,0,no_children,2,1,0,0,two_members,0
0,1,157500.0,Working,House / apartment,0,1,0,0,no_children,1,1,0,0,two_members,0
0,1,157500.0,Working,House / apartment,0,1,0,0,no_children,1,1,0,0,two_members,0
0,1,157500.0,Working,House / apartment,0,1,0,0,no_children,1,1,0,0,two_members,0
0,1,112500.0,Working,House / apartment,0,0,0,0,one_child,1,0,0,0,two_members,0
0,1,112500.0,Working,House / apartment,0,0,0,0,one_child,1,0,0,0,two_members,0
1,1,270000.0,Working,House / apartment,0,0,0,1,two_or_more,1,1,1,0,three_or_more,0
1,1,270000.0,Working,House / apartment,0,0,0,1,two_or_more,1,1,1,0,three_or_more,0
0,1,405000.0,Commercial associate,House / apartment,0,0,0,1,one_child,3,1,1,0,three_or_more,0
0,1,405000.0,Commercial associate,House / apartment,0,0,0,1,one_child,3,1,1,0,three_or_more,0
0,1,405000.0,Commercial associate,House / apartment,0,0,0,1,one_child,3,1,1,0,three_or_more,0
0,1,405000.0,Commercial associate,House / apartment,0,0,0,1,one_child,3,1,1,0,three_or_more,0
0,1,405000.0,Commercial associate,House / apartment,0,0,0,1,one_child,3,1,1,0,three_or_more,0
0,1,405000.0,Commercial associate,House / apartment,0,0,0,1,one_child,3,1,1,0,three_or_more,0
1,1,112500.0,Commercial associate,House / apartment,0,1,0,1,no_children,1,1,1,0,two_members,0
1,1,112500.0,Commercial associate,House / apartment,0,1,0,1,no_children,1,1,1,0,two_members,0
1,1,112500.0,Commercial associate,House / apartment,0,1,0,1,no_children,1,1,1,0,two_members,0
1,1,112500.0,Commercial associate,House / apartment,0,1,0,1,no_children,1,1,1,0,two_members,0
1,1,112500.0,Commercial associate,House / apartment,0,1,0,1,no_children,1,1,1,0,two_members,0
1,1,112500.0,Commercial associate,House / apartment,0,1,0,1,no_children,1,1,1,0,two_members,0
1,1,112500.0,Commercial associate,House / apartment,0,1,0,1,no_children,1,1,1,0,two_members,0
1,1,112500.0,Commercial associate,House / apartment,0,1,0,1,no_children,1,1,1,0,two_members,0
1,1,135000.0,Working,House / apartment,0,0,0,0,two_or_more,1,1,1,0,three_or_more,0
1,1,135000.0,Working,House / apartment,0,0,0,0,two_or_more,1,1,1,0,three_or_more,0
1,1,135000.0,Working,House / apartment,0,0,0,0,two_or_more,1,1,1,0,three_or_more,0
1,1,135000.0,Working,House / apartment,0,0,0,0,two_or_more,1,1,1,0,three_or_more,0
1,1,135000.0,Working,House / apartment,0,0,0,0,two_or_more,1,1,1,0,three_or_more,0
1,1,135000.0,Working,House / apartment,0,0,0,0,two_or_more,1,1,1,0,three_or_more,0
